,idDrink,strDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
0,15346,155 Belmont,,,,,,,,,Cocktail,,Alcoholic,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,,Mit Eis vermischen. In einem Weinglas servieren. Mit Karotte garnieren.,,,,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,,No,2016-10-05 12:36:28
1,15395,1-900-FUK-MEUP,,,,,,,,,Shot,,Alcoholic,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,,Die Zutaten in einem mit Eiswürfeln gefüllten Mischgefäß schütteln. In ein Rocks Glas abseihen.,,,,https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz ,,,,,,,,No,2016-07-18 22:27:04
2,15423,110 in the shade,,,,,,,,,Beer,,Alcoholic,Beer Glass,Drop shooter in glass. Fill with beer,,Shooter tröpfchenweise in ein Glas geben. Mit Bier füllen.,,,,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Lager,Tequila,,,,,,,,,,,,,,16 oz ,1.5 oz ,,,,,,,,,,,,,,No,2016-02-03 14:51:57
3,14588,151 Florida Bushwacker,,,,,,,,,Milk / Float / Shake,,Alcoholic,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,,"Alle Zutaten vermengen. Mischen, bis alles glatt ist. Auf Wunsch mit Schokoladenraspeln garnieren.",,,,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup ,,,,,,,,No,2016-07-18 22:28:43
4,15288,252,,,,,,,,,Shot,,Alcoholic,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",,Beide Zutaten in ein Schnapsglas geben.,,,,https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot ,,,,,,,,,,,,,,No,2016-07-18 22:32:42
5,17060,24k nightmare,,,,,,,,,Shot,,Alcoholic,Shot glass,"Add over ice,shake and pour.",,"Über das Eis geben, schütteln und eingiessen.",,,,https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,,,,,,,,,,,,No,2016-07-18 22:31:38
6,13899,3 Wise Men,,,,,,,,,Shot,,Alcoholic,Collins glass,put them them in a glass... and slam it to tha head.,,In ein Glas geben... und ab in den Schädel.,,,,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,,,,,,No,2016-07-18 22:34:37
7,15300,3-Mile Long Island Iced Tea,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,,,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,,No,2016-08-31 19:42:52
8,13581,410 Gone,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,,,,,,,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,,,No,2016-08-31 19:43:46
9,14598,50/50,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,,Glas mit zerstoßenem Eis füllen. Füge Wodka hinzu. Füge einen Spritzer Grand-Marnier hinzu. Füllen Sie mit o.j.,,,,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with ,,,,,,,,,,,,,No,2016-04-29 09:41:56
10,17105,501 Blue,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Mix equal amounts into a glass with ice.,,Mische gleiche Mengen in ein Glas mit Eis.,,,,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-04-28 19:11:37
