,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
0,"Domaine De La Vougeraie, Chambolle Musigny",55354,domaine-de-la-vougeraie-chambolle-musigny,Chambolle Musigny,chambolle-musigny,Red,,['Bourgogne'],France,,2014,2018-03-29,False,87.94,A,7,,
1,"Chateau De Fieuzal, Pessac Leognan",34065,chateau-de-fieuzal-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,Grand Cru Classé de Graves,2007,2018-03-29,False,87.94,A,12,1009756.0,10097562007.0
2,"Chateau Prieure Lichine, Margaux",40241,chateau-prieure-lichine-margaux,Margaux,margaux,Red,,['Bordeaux'],France,4eme Grand Cru classé en 1855,2007,2018-03-29,False,87.94,A,12,1014440.0,10144402007.0
3,"Domaine Des Comtes Lafon, Les Duresses, Monthelie Premier Cru",56216,domaine-des-comtes-lafon-les-duresses-monthelie-premier-cru,Monthelie Premier Cru,monthelie-premier-cru,Red,,['Bourgogne'],France,,2014,2018-03-29,False,87.94,A,4,,
4,"Chateau Lagrange, Saint Julien",37955,chateau-lagrange-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,3eme Grand Cru classé en 1855,2013,2018-03-29,False,87.94,A,19,1012013.0,10120132013.0
5,"Chateau La Croix, Pomerol",37262,chateau-la-croix-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,87.94,A+,3,1143034.0,11430342009.0
6,"E. Guigal, Crozes Hermitage",68462,e-guigal-crozes-hermitage,Crozes Hermitage,crozes-hermitage,Red,,['Rhone'],France,,2005,2018-03-29,False,87.93,B,4,1113228.0,11132282005.0
7,"Chateau Brane Cantenac, Margaux",32799,chateau-brane-cantenac-margaux,Margaux,margaux,Red,,['Bordeaux'],France,2eme Grand Cru classé en 1855,2007,2018-03-29,False,87.93,A,14,1007286.0,10072862007.0
8,"Chateau Serilhan, Saint Estephe",40880,chateau-serilhan-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2008,2018-03-29,False,87.93,B,4,,
9,"Chateau La Garde, Pessac Leognan",37391,chateau-la-garde-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2014,2018-03-29,False,87.93,A,13,,
