,idDrink,strDrink,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,all_ingredients,soup
0,15346,155 Belmont,Cocktail,,Alcoholic,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Dark rum,Light rum,Vodka,Orange juice,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,"Dark rum,Light rum,Vodka,Orange juice","Dark rum,Light rum,Vodka,Orange juice,Blend with ice. Serve in a wine glass. Garnish with carrot."
1,15395,1-900-FUK-MEUP,Shot,,Alcoholic,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz ,,,"Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice","Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass."
2,15423,110 in the shade,Beer,,Alcoholic,Beer Glass,Drop shooter in glass. Fill with beer,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Lager,Tequila,,,,,,,,,16 oz ,1.5 oz ,,,,,,,,,"Lager,Tequila","Lager,Tequila,Drop shooter in glass. Fill with beer"
3,14588,151 Florida Bushwacker,Milk / Float / Shake,,Alcoholic,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup ,,,"Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream","Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired."
4,15288,252,Shot,,Alcoholic,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,151 proof rum,Wild Turkey,,,,,,,,,1/2 shot Bacardi ,1/2 shot ,,,,,,,,,"151 proof rum,Wild Turkey","151 proof rum,Wild Turkey,Add both ingredients to shot glass, shoot, and get drunk quick"
5,17060,24k nightmare,Shot,,Alcoholic,Shot glass,"Add over ice,shake and pour.",https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,,,,,,,"Goldschlager,Jägermeister,Rumple Minze,151 proof rum","Goldschlager,Jägermeister,Rumple Minze,151 proof rum,Add over ice,shake and pour."
6,13899,3 Wise Men,Shot,,Alcoholic,Collins glass,put them them in a glass... and slam it to tha head.,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,"Jack Daniels,Johnnie Walker,Jim Beam","Jack Daniels,Johnnie Walker,Jim Beam,put them them in a glass... and slam it to tha head."
7,15300,3-Mile Long Island Iced Tea,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1-2 dash ,1 wedge ,Garnish with,,"Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon","Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge."
8,13581,410 Gone,Ordinary Drink,,Alcoholic,Collins Glass,,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Peach Vodka,Coca-Cola,,,,,,,,,2-3 oz,,,,,,,,,,"Peach Vodka,Coca-Cola","Peach Vodka,Coca-Cola,"
9,14598,50/50,Ordinary Drink,,Alcoholic,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,2 1/2 oz ,1 splash ,Fill with ,,,,,,,,"Vanilla vodka,Grand Marnier,Orange juice","Vanilla vodka,Grand Marnier,Orange juice,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j."
